type_survey,date_elec,id_pollster,pollster,media,field_date_from,field_date_to,exit_poll,size,turnout,UCD,PSOE,PCE,AP,CIU,PA,EAJ-PNV,HB,ERC,EE,CDS,FN,PAD,PRD,MUC,IU,CG,PAR,AIC,UV,EA,PP,LV,ARM,PDP,CC,PAP,BNG,ICV,EH,UPYD,AMAIUR,CS,DIL-CDC,EH-BILDU,UP,PACMA,PODEMOS,COMPROMIS,VOX,JXCAT-JUNTS,NA-SUMA,PDECAT,CC-NC,PRC,MP,CUP,TE,EV
national,2008-03-09,pollster-48,DEMOMÉTRICA,TELECINCO,2008-02-23,2008-02-25,FALSE,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-22,2008-02-25,FALSE,1796,NA,NA,45.3,NA,NA,3,NA,1.4,NA,1.3,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-02-24,2008-02-24,FALSE,NA,NA,NA,44,NA,NA,2.6,NA,1.4,NA,1.7,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-48,DEMOMÉTRICA,TELECINCO,2008-02-22,2008-02-24,FALSE,NA,NA,NA,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-39,IPSOS,EXPANSIÓN,2008-02-22,2008-02-24,FALSE,NA,72,NA,41.7,NA,NA,2.8,NA,1.4,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-02-23,2008-02-23,FALSE,NA,NA,NA,44.5,NA,NA,2.8,NA,1.2,NA,1.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-48,DEMOMÉTRICA,TELECINCO,2008-02-21,2008-02-23,FALSE,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-21,2008-02-23,FALSE,NA,NA,NA,44.7,NA,NA,3.1,NA,1.4,NA,1.3,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-50,DEMO IBÉRICA,COPE,2008-02-22,2008-02-22,FALSE,NA,70.7,NA,41.5,NA,NA,3.4,NA,7,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,39.6,NA,NA,NA,2,NA,2,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-02-22,2008-02-22,FALSE,NA,NA,NA,42,NA,NA,2.6,NA,1.3,NA,1.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-53,METROSCOPIA,EL PAÍS,2008-02-22,2008-02-22,FALSE,600,73,NA,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-48,DEMOMÉTRICA,TELECINCO,2008-02-20,2008-02-22,FALSE,NA,NA,NA,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-20,2008-02-22,FALSE,1812,NA,NA,44,NA,NA,3,NA,1.3,NA,1.4,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-54,INVYMARK,LA SEXTA,2008-02-18,2008-02-22,FALSE,NA,NA,NA,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-02-21,2008-02-21,FALSE,NA,NA,NA,41.5,NA,NA,2.6,NA,1.3,NA,1.7,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-48,DEMOMÉTRICA,TELECINCO,2008-02-19,2008-02-21,FALSE,NA,NA,NA,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-19,2008-02-21,FALSE,NA,NA,NA,43.1,NA,NA,2.8,NA,1.4,NA,1.5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-25,DYM,ABC,2008-02-11,2008-02-21,FALSE,1074,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-02-18,2008-02-20,FALSE,NA,73.6,NA,42,NA,NA,2.7,NA,1.5,NA,2.2,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,39.7,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-18,2008-02-20,FALSE,1812,NA,NA,42.8,NA,NA,2.6,NA,1.4,NA,1.3,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-55,APPEND,VOCENTO,2008-02-11,2008-02-18,FALSE,4989,74.4,NA,41.4,NA,NA,3,NA,1.5,NA,2,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,38.8,NA,NA,NA,0.7,NA,0.6,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-02-11,2008-02-18,FALSE,NA,72.4,NA,41.8,NA,NA,2.9,NA,1.6,NA,1.9,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-39,IPSOS,EXPANSIÓN,2008-02-15,2008-02-17,FALSE,NA,72,NA,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-49,GESOP,EL PERIÓDICO,2008-02-11,2008-02-17,FALSE,1500,65,NA,40.5,NA,NA,2.6,NA,1.4,NA,1.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-41,ASEP,NA,2008-02-11,2008-02-17,FALSE,1201,75.5,NA,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-53,METROSCOPIA,EL PAÍS,2008-02-15,2008-02-15,FALSE,600,71,NA,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-54,INVYMARK,LA SEXTA,2008-02-11,2008-02-15,FALSE,NA,NA,NA,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-45,NOXA,LA VANGUARDIA,2008-02-08,2008-02-14,FALSE,1800,NA,NA,43.1,NA,NA,3,NA,1.4,NA,1.5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-25,DYM,ABC,2008-02-04,2008-02-14,FALSE,1057,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-02-07,2008-02-12,FALSE,12000,NA,NA,42.6,NA,NA,2.6,NA,1.3,NA,1.3,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,40.1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-39,IPSOS,EXPANSIÓN,2008-02-08,2008-02-10,FALSE,NA,69,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-02-04,2008-02-10,FALSE,NA,73.4,NA,42.7,NA,NA,2.7,NA,1.7,NA,7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,39.1,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-53,METROSCOPIA,EL PAÍS,2008-02-08,2008-02-08,FALSE,600,70,NA,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-01-28,2008-02-08,FALSE,4008,NA,NA,44,NA,NA,2.8,NA,1.6,NA,1.5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-18,SIGMA DOS,EL MUNDO,2008-02-04,2008-02-07,FALSE,1000,NA,NA,41.8,NA,NA,3.2,NA,1.6,NA,2.1,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-25,DYM,ABC,2008-01-28,2008-02-07,FALSE,1031,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-56,SIMPLE LÓGICA,NA,2008-01-23,2008-02-04,FALSE,2031,72.7,NA,40.6,NA,NA,2.7,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-19,CIS,NA,2008-01-21,2008-02-04,FALSE,18221,NA,NA,40.2,NA,NA,3,NA,1.7,NA,2.1,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,38.7,NA,NA,NA,0.6,NA,0.9,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-25,DYM,ABC,2008-01-21,2008-01-31,FALSE,1015,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-01-21,2008-01-31,FALSE,4009,72,NA,44.6,NA,NA,3,NA,1.6,NA,1.3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-01-29,2008-01-30,FALSE,NA,NA,NA,42.5,NA,NA,2.8,NA,1.5,NA,6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,39.3,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-53,METROSCOPIA,EL PAÍS,2008-01-26,2008-01-30,FALSE,2000,73,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-01-28,2008-01-28,FALSE,NA,73,NA,42.3,NA,NA,3,NA,1.5,NA,1.6,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,39.6,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-43,CELESTE-TEL,TERRA,2008-01-22,2008-01-28,FALSE,10910,72.9,NA,43.7,NA,NA,3.2,NA,1.2,NA,1.1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,41.3,NA,NA,NA,0.8,NA,0.9,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-54,INVYMARK,LA SEXTA,2008-01-21,2008-01-25,FALSE,1100,NA,NA,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-01-14,2008-01-24,FALSE,4007,NA,NA,44.5,NA,NA,2.8,NA,1.6,NA,1.5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-01-23,2008-01-23,FALSE,1000,NA,NA,44,NA,NA,3,NA,1.6,NA,1.9,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-01-21,2008-01-21,FALSE,NA,71.5,NA,41.6,NA,NA,3.1,NA,1.5,NA,2,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,39.5,NA,NA,NA,0.8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-41,ASEP,NA,2008-01-14,2008-01-20,FALSE,1203,75.6,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2008-01-07,2008-01-17,FALSE,4000,NA,NA,42.8,NA,NA,2.6,NA,1.6,NA,1.7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-45,NOXA,LA VANGUARDIA,2008-01-11,2008-01-16,FALSE,1000,NA,NA,42.3,NA,NA,2.5,NA,1.5,NA,1.8,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2008-01-14,2008-01-14,FALSE,NA,72,NA,41.9,NA,NA,3.3,NA,1.6,NA,1.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,40.1,NA,NA,NA,2,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-39,IPSOS,EXPANSIÓN,2008-01-11,2008-01-13,FALSE,NA,68,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2008-01-09,2008-01-09,FALSE,1000,NA,NA,43,NA,NA,3,NA,1.4,NA,1.5,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-54,INVYMARK,LA SEXTA,2007-12-24,2007-12-28,FALSE,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-18,SIGMA DOS,EL MUNDO,2007-12-14,2007-12-26,FALSE,10400,NA,NA,41.9,NA,NA,3.4,NA,1.5,NA,2.2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,39.4,NA,NA,NA,3,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2007-12-20,2007-12-21,FALSE,9100,72,NA,43,NA,NA,2.7,NA,1.6,NA,1.6,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,38.5,NA,NA,NA,2,NA,2,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-39,IPSOS,EXPANSIÓN,2007-12-14,2007-12-16,FALSE,1000,66,NA,41.3,NA,NA,3.2,NA,1.5,NA,2.1,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-41,ASEP,NA,2007-12-10,2007-12-16,FALSE,1199,76.3,NA,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-54,INVYMARK,LA SEXTA,2007-12-10,2007-12-14,FALSE,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-45,NOXA,LA VANGUARDIA,2007-11-28,2007-12-12,FALSE,2000,NA,NA,42.5,NA,NA,2.8,NA,1.9,NA,1.7,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-42,TNS DEMOSCOPIA,ANTENA 3,2007-12-11,2007-12-11,FALSE,NA,73.2,NA,42,NA,NA,3.2,NA,1.4,NA,1.9,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2007-12-04,2007-12-04,FALSE,1000,NA,NA,45,NA,NA,3,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-51,OBRADOIRO DE SOCIOLOXÍA,PÚBLICO,2007-12-02,2007-12-02,FALSE,NA,NA,NA,42.5,NA,NA,2.8,NA,1.5,NA,2,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-30,INTERCAMPO,GETS,2007-11-22,2007-11-22,FALSE,NA,NA,NA,40.7,NA,NA,3.3,NA,1.7,NA,2,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,2008-03-09,pollster-23,OPINA,CADENA SER,2007-11-21,2007-11-21,FALSE,1000,NA,NA,45,NA,NA,3.2,NA,1.9,NA,1.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
